hp_id,phrase,organ_system,lineage,definition,alt_ids,snomedct,umls
HP:0000001,All,Other,All (HP:0000001),,,,UMLS:C0444868
HP:0000002,Abnormality Of Body Height,Growth Abnormality,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Growth abnormality (HP:0001507) -> Abnormality of body height (HP:0000002),Deviation from the norm of height with respect to that which is expected according to age and gender norms.,,,UMLS:C4025901
HP:0000002,Abnormality Of Body Height,Growth Abnormality,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Growth abnormality (HP:0001507) -> Abnormality of body height (HP:0000002),Deviation from the norm of height with respect to that which is expected according to age and gender norms.,,,UMLS:C4025901
HP:0000003,Multicystic Kidney Dysplasia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the upper urinary tract (HP:0010935) -> Abnormality of the kidney (HP:0000077) -> Abnormal renal morphology (HP:0012210) -> Renal cyst (HP:0000107) -> Multicystic kidney dysplasia (HP:0000003),"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.",HP:0004715,SNOMEDCT_US:82525005;SNOMEDCT_US:204962002,UMLS:C3714581
HP:0000003,Multicystic Renal Dysplasia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the upper urinary tract (HP:0010935) -> Abnormality of the kidney (HP:0000077) -> Abnormal renal morphology (HP:0012210) -> Renal cyst (HP:0000107) -> Multicystic kidney dysplasia (HP:0000003),"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.",HP:0004715,SNOMEDCT_US:82525005;SNOMEDCT_US:204962002,UMLS:C3714581
HP:0000003,Multicystic Dysplastic Kidney,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the upper urinary tract (HP:0010935) -> Abnormality of the kidney (HP:0000077) -> Abnormal renal morphology (HP:0012210) -> Renal cyst (HP:0000107) -> Multicystic kidney dysplasia (HP:0000003),"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.",HP:0004715,SNOMEDCT_US:82525005;SNOMEDCT_US:204962002,UMLS:C3714581
HP:0000003,Multicystic Kidneys,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the upper urinary tract (HP:0010935) -> Abnormality of the kidney (HP:0000077) -> Abnormal renal morphology (HP:0012210) -> Renal cyst (HP:0000107) -> Multicystic kidney dysplasia (HP:0000003),"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.",HP:0004715,SNOMEDCT_US:82525005;SNOMEDCT_US:204962002,UMLS:C3714581
HP:0000005,Mode Of Inheritance,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005),The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,HP:0001425;HP:0001453;HP:0001461;HP:0010985,,UMLS:C1708511
HP:0000005,Inheritance,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005),The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,HP:0001425;HP:0001453;HP:0001461;HP:0010985,,UMLS:C1708511
HP:0000006,Autosomal Dominant Inheritance,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal dominant inheritance (HP:0000006),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP:0001415;HP:0001447;HP:0001448;HP:0001451;HP:0001452;HP:0001455;HP:0001456;HP:0001463,SNOMEDCT_US:263681008,UMLS:C0443147
